0,货币资金(万元),结算备付金(万元),拆出资金(万元),交易性金融资产(万元),衍生金融资产(万元),应收票据(万元),应收账款(万元),预付款项(万元),应收保费(万元),应收分保账款(万元),应收分保合同准备金(万元),应收利息(万元),应收股利(万元),其他应收款(万元),应收出口退税(万元),应收补贴款(万元),应收保证金(万元),内部应收款(万元),买入返售金融资产(万元),存货(万元),待摊费用(万元),待处理流动资产损益(万元),一年内到期的非流动资产(万元),其他流动资产(万元),流动资产合计(万元),发放贷款及垫款(万元),可供出售金融资产(万元),持有至到期投资(万元),长期应收款(万元),长期股权投资(万元),其他长期投资(万元),投资性房地产(万元),固定资产原值(万元),累计折旧(万元),固定资产净值(万元),固定资产减值准备(万元),固定资产(万元),在建工程(万元),工程物资(万元),固定资产清理(万元),生产性生物资产(万元),公益性生物资产(万元),油气资产(万元),无形资产(万元),开发支出(万元),商誉(万元),长期待摊费用(万元),股权分置流通权(万元),递延所得税资产(万元),其他非流动资产(万元),非流动资产合计(万元),资产总计(万元),短期借款(万元),向中央银行借款(万元),吸收存款及同业存放(万元),拆入资金(万元),交易性金融负债(万元),衍生金融负债(万元),应付票据(万元),应付账款(万元),预收账款(万元),卖出回购金融资产款(万元),应付手续费及佣金(万元),应付职工薪酬(万元),应交税费(万元),应付利息(万元),应付股利(万元),其他应交款(万元),应付保证金(万元),内部应付款(万元),其他应付款(万元),预提费用(万元),预计流动负债(万元),应付分保账款(万元),保险合同准备金(万元),代理买卖证券款(万元),代理承销证券款(万元),国际票证结算(万元),国内票证结算(万元),递延收益(万元),应付短期债券(万元),一年内到期的非流动负债(万元),其他流动负债(万元),流动负债合计(万元),长期借款(万元),应付债券(万元),长期应付款(万元),专项应付款(万元),预计非流动负债(万元),长期递延收益(万元),递延所得税负债(万元),其他非流动负债(万元),非流动负债合计(万元),负债合计(万元),实收资本(或股本)(万元),资本公积(万元),减:库存股(万元),专项储备(万元),盈余公积(万元),一般风险准备(万元),未确定的投资损失(万元),未分配利润(万元),拟分配现金股利(万元),外币报表折算差额(万元),归属于母公司股东权益合计(万元),少数股东权益(万元),所有者权益(或股东权益)合计(万元),负债和所有者权益(或股东权益)总计(万元), 销售商品、提供劳务收到的现金(万元), 客户存款和同业存放款项净增加额(万元), 向中央银行借款净增加额(万元, 向其他金融机构拆入资金净增加额(万元), 收到原保险合同保费取得的现金(万元), 收到再保险业务现金净额(万元), 保户储金及投资款净增加额(万元), 处置交易性金融资产净增加额(万元), 收取利息、手续费及佣金的现金(万元), 拆入资金净增加额(万元), 回购业务资金净增加额(万元), 收到的税费返还(万元), 收到的其他与经营活动有关的现金(万元), 经营活动现金流入小计(万元), 购买商品、接受劳务支付的现金(万元), 客户贷款及垫款净增加额(万元), 存放中央银行和同业款项净增加额(万元), 支付原保险合同赔付款项的现金(万元), 支付利息、手续费及佣金的现金(万元), 支付保单红利的现金(万元), 支付给职工以及为职工支付的现金(万元), 支付的各项税费(万元), 支付的其他与经营活动有关的现金(万元), 经营活动现金流出小计(万元), 经营活动产生的现金流量净额(万元), 收回投资所收到的现金(万元), 取得投资收益所收到的现金(万元), 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元), 处置子公司及其他营业单位收到的现金净额(万元), 收到的其他与投资活动有关的现金(万元), 减少质押和定期存款所收到的现金(万元), 投资活动现金流入小计(万元), 购建固定资产、无形资产和其他长期资产所支付的现金(万元), 投资所支付的现金(万元), 质押贷款净增加额(万元), 取得子公司及其他营业单位支付的现金净额(万元), 支付的其他与投资活动有关的现金(万元), 增加质押和定期存款所支付的现金(万元), 投资活动现金流出小计(万元), 投资活动产生的现金流量净额(万元), 吸收投资收到的现金(万元), 其中：子公司吸收少数股东投资收到的现金(万元), 取得借款收到的现金(万元), 发行债券收到的现金(万元), 收到其他与筹资活动有关的现金(万元), 筹资活动现金流入小计(万元), 偿还债务支付的现金(万元), 分配股利、利润或偿付利息所支付的现金(万元), 其中：子公司支付给少数股东的股利、利润(万元), 支付其他与筹资活动有关的现金(万元), 筹资活动现金流出小计(万元), 筹资活动产生的现金流量净额(万元), 汇率变动对现金及现金等价物的影响(万元), 现金及现金等价物净增加额(万元), 加:期初现金及现金等价物余额(万元), 期末现金及现金等价物余额(万元), 净利润(万元), 少数股东损益(万元), 未确认的投资损失(万元), 资产减值准备(万元), 固定资产折旧、油气资产折耗、生产性物资折旧(万元), 无形资产摊销(万元), 长期待摊费用摊销(万元), 待摊费用的减少(万元), 预提费用的增加(万元), 处置固定资产、无形资产和其他长期资产的损失(万元), 固定资产报废损失(万元), 公允价值变动损失(万元), 递延收益增加(减：减少)(万元), 预计负债(万元), 财务费用(万元), 投资损失(万元), 递延所得税资产减少(万元), 递延所得税负债增加(万元), 存货的减少(万元), 经营性应收项目的减少(万元), 经营性应付项目的增加(万元), 已完工尚未结算款的减少(减:增加)(万元), 已结算尚未完工款的增加(减:减少)(万元), 其他(万元), 经营活动产生现金流量净额(万元), 债务转为资本(万元), 一年内到期的可转换公司债券(万元), 融资租入固定资产(万元), 现金的期末余额(万元), 现金的期初余额(万元), 现金等价物的期末余额(万元), 现金等价物的期初余额(万元), 现金及现金等价物的净增加额(万元),营业总收入(万元),营业收入(万元),利息收入(万元),已赚保费(万元),手续费及佣金收入(万元),房地产销售收入(万元),其他业务收入(万元),营业总成本(万元),营业成本(万元),利息支出(万元),手续费及佣金支出(万元),房地产销售成本(万元),研发费用(万元),退保金(万元),赔付支出净额(万元),提取保险合同准备金净额(万元),保单红利支出(万元),分保费用(万元),其他业务成本(万元),营业税金及附加(万元),销售费用(万元),管理费用(万元),财务费用(万元),资产减值损失(万元),公允价值变动收益(万元),投资收益(万元),对联营企业和合营企业的投资收益(万元),汇兑收益(万元),期货损益(万元),托管收益(万元),补贴收入(万元),其他业务利润(万元),营业利润(万元),营业外收入(万元),营业外支出(万元),非流动资产处置损失(万元),利润总额(万元),所得税费用(万元),未确认投资损失(万元),净利润(万元),归属于母公司所有者的净利润(万元),被合并方在合并前实现净利润(万元),少数股东损益(万元),基本每股收益,稀释每股收益
2017-06-30,28997700,--,6451800,4908300,588200,--,1443900,--,--,--,--,1844900,--,--, --,--,--,--,149800,--,--,--,--,--,--,154905200,1029300,30282200,--,--,--,21300,1344100,547800,796300,200,796100,--,--,--,--,--,--,463600,--,756800,--,--,2056000,1377200,--,309214200,--,8468400,229881100,2645500,1411100,571000,--,--,--,4906200,--,719600,777100,2167300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35065000,--,--,6000,--,--,1450500,--,288068800,1717000,5646500,--,--,1078100,3446800,--,7311000,--,--,21145400,--,21145400,309214200,--,--,6490700,--,--,--,--,--,7439000,--,3072400,--,1479600,18672300,--,13857300,4406200,--,2822700,--,822800,1587100,1396000,31490300,-12818000,34610000,1591500,400,--,--,--,36201900,41300,42016100,--,--,--,--,42057400,-5855500,--,--,--,53150000,--,53150000,44981000,271500,--,--,45252500,7897500,-135200,-10911200,23341400,12430200,1255400,--,--,2371600,47400,34500,24000,--,--,400,--,-255400,--,--,-972600,--,-283400,--,--,-19291400,4284600,--,--,--,-12818000,--,--,--,368000,449500,12062200,22891900,-10911200,5407300,--,7164800,--,1786900,--,9500,3760500,--,3428700,212100,--,--,--,--,--,--,--,--,50300,1338600,--,--,2371600,1700,73900,--,5200,--,--,--,--,1646800,1500,5100,--,1643200,387800,--,1255400,1255400,--,--,0.68,0.68
2017-03-31,26954100,--,6900900,4404400,418800,--,522600,--,--,--,--,1707100,--,--,--,--,--,--,81000,--,--,--,--,--,--,150418400,123800,29143300,--,--,--,22100,--,--,--,--,811900,--,--,--,--,--,--,473400,--,756800,--,--,1893500,1339100,--,300619500,--,2507400,231265800,5951300,966300,696400,--,--,--,1233200,--,690700,1519900,2132700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31707900,--,--,6000,--,--,1168000,--,279845600,1717000,5646500,--,--,1078100,3446800,--,6948300,--,--,20773900,--,20773900,300619500,--,--,592200,--,--,--,--,--,3559700,692800,--,--,1366700,6433900,--,8225100,2431300,--,1357800,--,543500,274700,2537100,17934700,-11500800,28151200,812000,--,--,--,--,28963200,12500,33671600,--,--,--,--,33684100,-4720900,--,--,--,30583300,--,30583300,25500000,151700,--,--,25651700,4931600,-43100,-11333200,23341400,12008200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12008200,23341400,--,--,-11333200,2771200,--,3504500,--,912500,--,6200,1948400,--,1617600,97500,--,--,--,--,--,--,--,--,24600,680400,--,--,1243400,-2500,61100,--,4500,--,--,--,--,822800,1600,1400,--,823000,201600,--,621400,621400,--,--,0.31,0.31
2016-12-31,31125800,--,9745000,5717900,873000,--,556800,--,--,--,--,1577000,--,--,--,--,--,--,887600,--,--,--,--,--,--,143586900,117900,28680200,--,--,--,22100,1344600,512800,831800,200,831600,--,--,--,--,--,--,477100,--,756800,--,--,1783100,1109900,--,295343400,--,1913700,231418600,5258600,2191300,834900,--,--,--,1894100,--,928900,1275400,2153200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26346400,--,--,9000,--,--,902200,--,275126300,1717000,5646500,--,--,1078100,3446800,--,6414300,--,--,20217100,--,20217100,295343400,--,26777300,1513800,--,--,--,--,--,13025900,4044300,793800,--,683000,50320000,--,29587800,4663500,--,4850400,--,1376200,1381100,6535000,49221100,1098900,176555000,2797900,900,--,--,--,179353800,277200,189310900,--,--,--,--,189588100,-10234300,--,--,--,71279000,--,73279000,66998000,355000,--,--,67357800,5921200,421500,-2792700,26134100,23341400,2259900,--,--,4651800,84800,58700,49600,--,--,1100,--,255500,--,6400,879000,-2863600,-921300,--,--,-38409100,35045200,--,--,--,1098900,--,--,--,449500,411900,22891900,25722200,-2792700,10771500,--,13111900,--,3130900,--,14600,7793600,--,5470800,345000,--,--,--,--,--,--,--,--,344500,2797300,--,--,4651800,4900,236800,-14100,88200,--,--,--,--,2977900,22100,6500,--,2993500,733600,--,2259900,2259900,--,--,1.32,1.32
2016-09-30,30393600,--,5017200,1598400,583200,--,570400,--,--,--,--,1347100,--,--,--,--,--,--,3765500,--,--,--,--,--,--,139385400,150200,28286200,--,54200,--,21100,--,--,--,--,740700,--,--,--,--,--,--,463100,--,756800,--,--,1336100,1371300,--,279123800,--,1064900,215963200,1292800,2058500,1123800,--,--,--,--,--,1064800,924100,2115100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32541900,--,--,2400,--,--,1149500,--,259301000,1717000,5646500,--,--,852100,2752800,--,6946300,--,--,19822800,--,19822800,279123800,--,11356300,755300,--,--,--,--,--,9940500,78500,--,--,794600,25797200,--,23918800,5922000,--,3729100,--,1106000,1105900,2757600,41091400,-15294200,162619700,2175700,--,--,--,--,164795400,90600,174421000,--,--,--,--,174511600,-9716200,--,--,--,60976400,--,62976400,50319000,355800,--,--,50679600,12296800,154600,-12559000,26134100,13575100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13575100,26134100,--,--,-12559000,8196800,--,9557500,--,2668900,--,8700,5742300,--,4101200,251500,--,--,--,--,--,--,--,--,310000,2270800,--,--,3161500,11000,246600,--,56800,--,--,--,--,2454500,5200,3700,--,2456000,584100,--,1871900,1871900,--,--,1.09,1.09
2016-06-30,27817800,--,6707000,4114800,1160300,--,612200,--,--,--,--,1411600,--,--,--,--,--,--,5216200,--,--,--,--,--,--,132393500,128000,28459800,--,54200,--,22800,1012100,481100,531000,--,531000,--,--,--,--,--,--,474100,--,756800,--,--,1173200,1405500,--,280098300,--,4110700,215717600,969300,2273900,1954900,--,300,--,30000,--,990100,649100,2071500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30760300,--,--,2500,--,--,1398100,--,260928300,1717000,5646500,--,--,852100,2752800,--,6303600,--,--,19170000,--,19170000,280098300,--,11145500,3802800,--,--,--,--,--,6631900,--,--,--,216700,23758900,--,15770900,1680700,--,2588800,--,838400,988500,2791100,27078700,-3319800,99403400,1407000,--,--,--,--,100810400,60000,113140500,--,--,--,--,113200500,-12390100,--,--,--,42045300,--,44045300,32940000,355000,--,--,33299800,10745500,144800,-4819600,26134100,21314500,1229200,--,--,2000000,39500,28500,22600,--,--,500,--,695500,--,--,-973800,--,-305300,--,--,-21442000,15409400,--,--,--,-3319800,--,--,--,359400,411900,20955100,25722200,-4819600,5476900,--,6356800,--,1810000,--,7400,3861300,--,2737200,165200,--,--,--,--,--,--,--,--,283900,1577400,--,--,2000000,16000,160800,2500,28300,--,--,--,--,1615600,2900,3100,--,1615400,386200,--,1229200,1229200,--,--,0.72,0.72
2016-03-31,29614400,--,8721200,3706000,767600,--,580300,--,--,--,--,1441000,--,--,--,--,--,--,3404500,--,--,--,--,--,--,123098500,274600,28927600,--,52100,--,22900,--,--,--,--,465000,--,--,--,--,--,--,483800,--,756800,--,--,973200,1347200,--,268115500,--,278300,215369900,911800,1617000,1019700,--,19100,--,439800,--,837400,875200,2270600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24736000,--,--,2500,--,--,981300,--,249358600,1430900,5932600,--,--,852100,2752800,--,5901900,--,--,18756900,--,18756900,268115500,--,10832500,--,--,--,--,--,--,3286000,--,--,--,61400,15950800,--,5397300,--,--,1247100,--,590400,268900,919400,10024000,5926800,40950900,721900,--,--,--,--,41672800,23600,51127300,--,--,--,--,51150900,-9478100,--,--,--,16742000,--,18742000,13488000,61200,--,--,13554000,5188000,-17100,1619600,26134100,27753700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27753700,26134100,--,--,1619600,2753200,--,3235900,--,889600,--,7100,1951800,--,1396100,79500,--,--,--,--,--,--,--,--,188800,808000,--,--,955000,-1400,82400,--,15200,--,--,--,--,801400,1800,300,--,802900,194300,--,608600,608600,--,--,0.43,0.43
2015-12-31,29171500,--,7663600,1975700,814400,--,662400,--,--,--,--,1354000,--,--,--,--,--,--,11729100,--,--,--,--,--,--,118687200,124500,26616600,--,52100,--,21200,930300,451500,478800,--,478800,--,--,--,--,--,--,496100,--,756800,--,--,872800,1195600,--,250714900,--,305100,204502700,1214300,850600,403700,--,4400,--,1100000,--,1035100,657100,2325300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21296300,--,--,2600,--,--,867700,--,234564900,1430900,5932600,--,--,852100,2752800,--,5293300,--,--,16150000,--,16150000,250714900,--,12500000,23500,--,--,--,--,--,13084900,--,--,--,1231700,36174400,--,21625500,547200,--,6332000,--,1287100,1510600,3400000,36357000,-182600,73292000,2658800,--,--,--,--,75950800,353400,85220000,--,--,--,--,85573400,-9622600,--,--,--,37079600,--,38073600,20321000,334900,--,--,20655900,17417700,176000,7788500,18345600,26134100,2186500,--,--,3048500,72500,62300,42300,--,--,900,--,-7100,--,100,-2157600,--,-213700,--,--,-14888600,11711300,--,--,--,-182600,--,--,--,411900,415900,25722200,17929700,7788500,9616300,--,13164900,--,2918500,--,16100,6726800,--,6555000,274000,--,--,--,--,--,--,--,--,667100,3011200,--,--,3048500,10700,392400,4600,-57300,--,--,--,--,2889500,4000,8900,--,2884600,698100,--,2186500,2186500,--,--,1.56,1.56
2015-09-30,29722300,--,10418900,1759700,547100,--,712000,--,--,--,--,1194400,--,--,--,--,--,--,25428500,--,--,--,--,--,--,118222600,76600,26002200,--,56200,--,14500,--,--,--,--,440600,--,--,--,--,--,--,497200,--,756800,--,--,936700,1228700,--,259906000,--,360000,215907300,1684600,738600,284400,--,278700,--,--,--,1052000,739300,2570800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19232500,--,--,2500,--,--,1341700,--,244192400,1430900,5932600,--,--,633400,1911500,--,5940700,--,--,15713600,--,15713600,259906000,--,23939800,80300,--,--,--,--,--,9879300,329500,--,--,994400,42387900,--,20078400,817900,--,4740400,--,989500,1173700,2633500,33189400,9198500,57750500,2104400,--,--,--,--,59854900,244400,63086600,--,--,--,--,63331000,-3476100,--,--,--,25809600,--,26803600,10623000,334900,--,--,10957900,15845700,72300,21640400,18345600,39986000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39986000,18345600,--,--,21640400,7115200,--,9922500,--,2214400,--,11600,4784700,--,5101900,192100,--,--,--,--,--,--,--,--,504600,2286600,--,--,1993500,9700,308100,--,-57100,--,--,--,--,2330500,2100,4000,--,2328600,554600,--,1774000,1774000,--,--,1.27,1.27
2015-06-30,29861800,--,6926700,3724600,509000,--,737400,--,--,--,--,1126400,--,--,--,--,--,--,30686900,--,--,--,--,--,--,115904500,158600,24613700,--,56200,--,10700,801400,432400,369000,--,369000,--,--,--,--,--,--,506400,--,756800,--,--,930800,1112600,--,257050800,--,292100,223015900,1793100,562700,325200,--,97800,--,--,--,889600,729300,2400100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10825400,--,--,2500,--,--,1029100,--,241962800,1430900,5932600,--,--,633400,1911500,--,5325300,--,--,15088000,--,15088000,257050800,--,31083800,14100,--,--,--,--,--,6595800,437900,--,--,330300,44743400,--,16995900,--,--,3373200,--,743400,818800,2118500,26491200,18252200,25418200,1447500,--,--,--,--,26865700,169200,31687800,--,--,--,--,31857000,-4991300,--,--,--,12347900,--,13341900,5838000,334900,--,--,6172900,7169000,-17000,20412900,18345600,38758500,1158500,--,--,1292300,33600,30600,18700,--,--,100,--,162600,--,--,-1222700,--,-258700,--,--,-12717300,29774800,--,--,--,18252200,--,--,--,467300,415900,38291200,17929700,20412900,4657500,--,6586400,--,1496100,--,6100,3130800,--,3474600,123900,--,--,--,--,--,--,--,--,338000,1500500,--,--,1292300,8500,210400,3500,-51500,--,--,--,--,1526700,1300,2100,--,1525900,367400,--,1158500,1158500,--,--,0.84,0.84
2015-03-31,26670500,--,4636000,4079000,575800,--,861300,--,--,--,--,1163300,--,--,--,--,--,--,18304800,--,--,--,--,--,--,110131300,195400,23109400,--,48600,--,10900,--,--,--,--,369700,--,--,--,--,--,--,515700,--,756800,--,--,748400,1250800,--,230477500,--,408600,199601600,1373300,488900,353700,--,144800,--,1842600,--,658400,721200,2424100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7792100,--,--,2500,--,--,995300,--,216807100,1142500,5227000,--,--,633400,1911500,--,4928500,--,--,13670400,--,13670400,230477500,--,7704300,131800,--,--,--,--,--,3134100,18200,--,--,32100,16709200,--,10250000,--,--,1741600,--,513500,266900,2164000,15559700,1149500,12218500,684300,--,--,--,--,12902800,125100,15054700,--,--,--,--,15179800,-2277000,--,--,--,5571700,--,5571700,2005000,61200,--,--,2066200,3505500,-19800,2358200,18345600,20703800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20703800,18345600,--,--,2358200,2067100,--,3246400,--,596700,--,3200,1322400,--,1732000,58000,--,--,--,--,--,--,--,--,157200,690100,--,--,475100,-5800,46400,--,-29800,--,--,--,--,744700,200,1200,--,743700,180800,--,562900,562900,--,--,0.41,0.41
2014-12-31,30629800,--,4584100,2581100,430000,--,992500,--,--,--,--,1193700,--,--,--,--,--,--,17863600,--,--,--,--,--,--,100363700,149300,20787400,--,48600,--,11000,788700,407500,381200,--,381200,--,--,--,--,--,--,529300,--,756800,--,--,683400,812300,--,218645900,--,275400,191863400,1355100,425900,266200,--,188300,--,2256800,--,796100,579400,2522900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4175000,--,--,2500,--,--,844000,--,205551000,1142500,5227000,--,--,633400,1911500,--,4365600,--,--,13094900,--,13094900,218645900,--,25052900,45300,--,--,--,--,--,10920500,--,--,--,411500,44087600,--,18658300,7021500,--,5853200,--,1217500,1299100,4932500,41555500,2532100,39196800,2435100,700,--,--,--,41632600,383500,46697400,--,--,--,--,47080900,-5448300,--,--,--,5200500,300,5200800,1880000,201900,--,--,2081900,3118900,32500,235200,18110400,18345600,1980200,--,--,1501100,62800,63100,33200,--,--,100,--,-64900,--,600,-2052500,--,-262600,--,--,-22874500,24176200,--,--,--,2532100,--,--,--,415900,373100,17929700,17737300,235200,7340700,--,11920200,--,1970600,--,21300,4716100,--,6615600,232800,--,--,--,--,--,--,--,--,548200,2666800,--,--,1501100,-1000,316800,2800,-38800,--,--,--,--,2624600,4000,9200,--,2619400,639200,--,1980200,1980200,--,--,1.73,1.73
2014-09-30,27732500,--,4856700,1480800,490400,--,1049800,--,--,--,--,1113500,--,--,--,--,--,--,20397500,--,--,--,--,--,--,97416000,247600,20018900,--,47200,--,10100,--,--,--,--,354000,--,--,--,--,--,--,526300,--,756800,--,--,615400,917800,--,214435800,--,135700,187754300,1640700,451200,312000,--,193600,--,1865400,--,698300,552400,2477300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4548100,--,--,3000,--,--,1130200,--,201762200,1142500,5227000,--,--,435400,1650900,--,4413400,--,--,12673600,--,12673600,214435800,--,20962500,--,--,--,--,--,--,7989700,--,--,--,397900,33360300,--,15167800,5695400,--,4183800,--,962300,982700,3444400,33871200,-510900,35854100,1817300,700,--,--,--,37672100,215500,40322100,--,--,--,--,40537600,-2865500,--,--,--,4174300,300,4174600,450000,201900,--,--,651900,3522700,29200,175500,18110400,18285900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18285900,18110400,--,--,175500,5465100,--,8757000,--,1447300,--,15700,3388000,--,4915200,167600,--,--,--,--,--,--,--,--,412300,2005600,--,--,970100,2700,330500,--,-5300,--,--,--,--,2077100,3000,5300,--,2074800,505400,--,1569400,1569400,--,--,1.37,1.37
2014-06-30,25960400,--,4458200,2521700,274000,--,1085000,--,--,--,--,1064100,--,--,--,--,--,--,29068800,--,--,--,--,--,--,92104800,128700,19884800,--,58300,--,10300,732300,383100,349200,--,349200,--,--,--,--,--,--,529600,--,756800,--,--,478600,667200,--,213647500,--,129900,190121700,1876500,495000,326300,--,227100,--,2038500,--,571500,376500,2121900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2160500,--,--,4500,--,--,1103600,--,201553500,1142500,5014000,--,--,435400,1650900,--,3851200,--,--,12094000,--,12094000,213647500,--,23336000,--,--,--,--,--,--,5186100,--,--,--,251500,30793700,--,9450900,5134100,--,2831700,--,710600,690600,3087200,25451300,5342400,22176500,1153700,600,--,--,--,23330800,144700,24707500,--,--,--,--,24852200,-1521400,--,--,--,1648300,--,1648300,300000,201900,--,--,501900,1146400,81300,5048700,18110400,23159100,1007200,--,--,565200,30400,28200,14600,--,--,100,--,-36600,--,300,-971300,--,-48500,--,--,-17378100,22147300,--,--,--,5342400,--,--,--,388800,373100,22770300,17737300,5048700,3473300,--,5695000,--,894100,--,8700,2138800,--,3239600,117000,--,--,--,--,--,--,--,--,268100,1305500,--,--,565200,6800,217300,900,8000,--,--,--,--,1334500,1700,3400,--,1332800,325600,--,1007200,1007200,--,--,0.88,0.88
2014-03-31,25811000,--,4729200,2516500,367500,--,667100,--,--,--,--,1013800,--,--,--,--,--,--,34711400,--,--,--,--,--,--,87401400,71700,19495500,--,59600,--,11400,--,--,--,--,358000,--,--,--,--,--,--,533200,--,756800,--,--,391200,627100,--,209710200,--,179900,188341200,1929200,422700,346800,--,220900,--,1109300,--,448200,440900,1933500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1710800,--,--,5600,--,--,891200,--,197980200,952100,5189900,--,--,435400,1650900,--,3501700,--,--,11730000,--,11730000,209710200,--,21559100,--,--,--,--,--,--,2480800,--,--,--,122200,24206800,--,4428800,5773600,--,1422200,--,493200,227900,2346100,18197100,6009700,11259100,605300,--,--,--,--,11864400,123100,10935500,--,--,--,--,11058600,805800,--,--,--,900000,--,900000,--,--,--,--,0,900000,76700,7792200,18110400,25902600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25902600,18110400,--,--,7792200,1610000,--,2790400,--,387900,--,4300,938800,--,1635400,67200,--,--,--,--,--,--,--,--,125900,606200,--,--,206700,-84800,218500,--,-3700,--,--,--,--,671200,300,1800,--,669700,164300,--,505400,505400,--,--,0.53,0.53
2013-12-31,22992400,--,2724100,1042100,339700,--,705800,--,--,--,--,1004300,--,--,--,--,--,--,27169200,--,--,--,--,--,--,83212700,46700,19566700,--,59600,--,11600,731200,361800,369400,--,369400,--,--,--,--,--,--,546300,--,756800,--,--,440600,400500,--,189174100,--,226400,166779100,2263300,369200,291400,--,214900,--,3604900,--,601300,420500,1660500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,810200,--,--,5600,--,--,718700,--,177966000,952100,5173400,--,--,435400,1650900,--,2996300,--,--,11208100,--,11208100,189174100,--,29240300,--,--,--,--,--,--,8301700,--,--,--,206600,41548700,--,12976700,1827200,--,4668700,--,966000,865200,2608800,32381300,9167400,44371300,1734500,2800,--,--,--,46108600,175000,54634700,--,--,--,--,54809700,-8701100,--,--,--,--,--,1473400,800000,182400,--,--,982400,491000,-53600,903700,17206700,18110400,1523100,--,--,689000,59000,54500,26700,--,--,-1000,--,23300,--,-5300,-1575800,--,-34400,-127200,--,-17971800,26546500,--,--,--,9167400,--,--,--,373100,323300,17737300,16883400,903700,5218900,--,9310200,--,1182100,--,15000,3223400,--,5241400,136500,--,--,--,--,--,--,--,--,406500,2127900,--,--,689000,71100,34700,10200,-16300,--,--,--,--,1995500,11100,2600,--,2004000,480900,--,1523100,1523100,--,--,1.86,1.86
2013-09-30,25684500,--,2283300,1437100,135800,--,474100,--,--,--,--,979800,--,--,--,--,--,--,24715400,--,--,--,--,--,--,81769700,5817500,14002000,--,50800,--,18400,--,--,--,--,331200,--,--,--,--,--,--,551000,--,756800,--,--,328800,358100,--,185561900,--,247300,164878800,2034600,360000,166800,--,136300,--,4229800,--,523300,362000,1595000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,959700,--,--,6600,--,--,570400,--,176070600,819700,3942600,--,--,283000,1363300,--,3082700,--,--,9491300,--,9491300,185561900,--,27342200,--,--,--,--,--,--,6028600,--,--,--,184200,37538000,--,11283900,2410100,--,3303700,--,738000,622800,1441100,27455700,10082300,28724100,1261100,2900,--,--,--,29988100,44800,39514800,--,--,--,--,39559600,-9571500,--,--,--,--,--,0,650000,174400,--,--,824400,-824400,-45200,-358800,17206700,16847900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16847900,17206700,--,--,-358800,3734500,--,6748700,--,828000,--,9300,2203800,--,3843100,86500,--,--,--,--,--,--,--,--,293600,1477600,--,--,432600,1700,89800,--,-13400,--,--,--,--,1530700,8600,800,--,1538500,368900,--,1169600,1169600,--,--,1.43,1.43
